quality,1,2,3,4,5
delay,clear,full,hard,rough,noisy
stretched,thick,rough,thin,hard,full
humming,noisy,bright,warm,hard,sparse
vintage verb,full,clear,hard,rough,sparse
less sharp,full,clear,hard,rough,sparse
depressing,hard,rough,noisy,clear,dark
reverse,clear,full,hard,rough,smooth
marimba,sparse,hollow,full,hard,soft
warm,warm,soft,bright,thick,dark
chilling,dark,warm,clear,full,rough
dark,dark,bright,clear,soft,thick
creepy,dark,full,rough,hard,noisy
mushy,muddy,soft,rough,hard,thick
high energy,full,clear,hard,rough,sparse
melodic,sparse,pure,smooth,soft,rough
dreary,muddy,dark,sparse,rough,bright
reverbed,sparse,noisy,muddy,metallic,hollow
groovy,bright,sparse,full,hard,noisy
chorused,noisy,sparse,full,clear,muddy
grungy,rough,sparse,noisy,muddy,dark
rounder,rough,clear,full,hard,smooth
richer,rich,clear,full,pure,bright
clean,clear,full,hard,warm,smooth
negative feelings,full,clear,hard,rough,sparse
quick delay,full,clear,hard,rough,sparse
monotone,sparse,noisy,rough,clear,smooth
twangy,sparse,muddy,noisy,rough,bright
dreamy,bright,dark,soft,warm,smooth
light reverb,full,clear,hard,rough,sparse
nasal,clear,soft,thin,hollow,thick
purer,pure,clear,rich,bright,full
cleaner,full,clear,hard,rough,noisy
distorted,clear,sparse,noisy,rough,muddy
less noisy,full,clear,hard,rough,sparse
alot of reverb,full,clear,hard,rough,sparse
heavy bass,full,clear,hard,rough,sparse
tape saturation,full,clear,hard,rough,sparse
distortions,clear,full,sparse,noisy,rough
distored,sparse,muddy,noisy,clear,full
evil,dark,clear,hard,pure,full
melancholic,sparse,dark,bright,noisy,rough
heavily distorted,full,clear,hard,rough,sparse
reversed,clear,full,hard,rough,bright
dolce,full,dark,pure,soft,bright
soft,soft,smooth,warm,thick,thin
emotional,clear,hard,full,rough,pure
cantando,full,rough,pure,clear,hard
impressive bass,full,clear,hard,rough,sparse
reverbs,noisy,sparse,full,bright,clear
brassy,bright,metallic,dark,sparse,rough
too loud,full,clear,hard,rough,sparse
juicy bass,full,clear,hard,rough,sparse
sharp,rough,clear,bright,smooth,hard
chiming,clear,sparse,noisy,bright,full
nice,hard,full,clear,warm,bright
sustained,clear,full,hard,rough,pure
tension,clear,full,rough,hard,smooth
softer,soft,smooth,rough,thin,warm
nice round,full,clear,hard,rough,sparse
grungey distortion,full,clear,hard,rough,sparse
distorted bass,full,clear,hard,rough,sparse
bassy,muddy,noisy,sparse,clear,full
overly aggressive,full,clear,hard,rough,sparse
ambient,noisy,dark,warm,sparse,clear
slow,hard,smooth,rough,clear,full
other-worldly,clear,sparse,dark,bright,full
clear,clear,full,hard,bright,rough
hard,hard,rough,clear,full,soft
bright,bright,dark,clear,warm,soft
percussive,sparse,noisy,metallic,rough,full
glitchy,sparse,noisy,rough,muddy,hard
melancholy,dark,sparse,bright,rough,full
loud,noisy,hard,bright,clear,rough
fuller,full,clear,smooth,sparse,rich
futuristic,dark,bright,full,metallic,clear
light distortion,full,clear,hard,rough,sparse
pitch-shifting,full,clear,hard,rough,sparse
metallic,metallic,bright,dark,thin,soft
agressive,rough,hard,noisy,clear,full
pitch shift,full,clear,hard,rough,sparse
dull,rough,dark,bright,clear,sparse
reeverb delay,full,clear,hard,rough,sparse
slap-back,full,clear,hard,rough,sparse
wrongness,clear,pure,full,hard,rough
higher,full,clear,hard,rough,pure
heavy,hard,rough,thick,full,dark
calm,clear,warm,bright,rough,hard
distortion,clear,noisy,full,smooth,pure
brighter,bright,clear,dark,full,warm
scary,dark,hard,rough,full,clear
tasto,sparse,clear,rough,muddy,full
mellow,warm,smooth,dark,soft,bright
increased sustain,full,clear,hard,rough,sparse
delays,clear,full,rough,noisy,hard
flute,hollow,full,clear,hard,soft
slap back delay,full,clear,hard,rough,sparse
light,bright,dark,clear,soft,full
less distortion,full,clear,hard,rough,sparse
noise,noisy,clear,rough,hard,full
sad,hard,dark,clear,full,rough
bouncy,soft,hard,smooth,bright,rough
depressed,hard,rough,clear,noisy,thin
deep,dark,clear,thick,hard,full
dissonant,noisy,sparse,rough,muddy,dark
choppiness,rough,sparse,clear,muddy,noisy
reverb,sparse,noisy,full,muddy,smooth
pitch shifting,full,clear,hard,rough,sparse
trippy,dark,sparse,full,bright,rough
fast,hard,full,smooth,clear,rough
pont,hard,full,clear,rough,bright
tropical,warm,bright,rich,full,dark
bowed,clear,full,hollow,sparse,rough
weird,hard,dark,rough,full,clear
tremolo,full,smooth,sparse,hollow,clear
dry,warm,rough,soft,thick,thin
chorus effect,full,clear,hard,rough,sparse
moody,dark,sparse,bright,noisy,rough
less aggressive,full,clear,hard,rough,sparse
compression,full,soft,smooth,thin,hard
weedy,muddy,sparse,rough,noisy,thin
horror,dark,full,hard,pure,clear
trappy,muddy,sparse,rough,noisy,hollow
tinny,noisy,muddy,rough,sparse,hollow
aggressive,clear,hard,rough,full,noisy
atmospheric,sparse,dark,warm,noisy,clear
light chorus,full,clear,hard,rough,sparse
tube saturation,full,clear,hard,rough,sparse
