quality,1,2,3,4,5
delay,clear,noisy,full,smooth,hard
stretched,thick,thin,rough,hard,soft
humming,noisy,warm,bright,sparse,dark
vintage verb,bright,dark,full,hollow,smooth
less sharp,bright,dark,full,hollow,smooth
depressing,noisy,dark,rough,muddy,hard
reverse,clear,smooth,rough,hard,soft
marimba,hollow,sparse,metallic,soft,smooth
warm,warm,soft,bright,thick,smooth
chilling,warm,dark,noisy,clear,sparse
dark,dark,bright,thick,soft,thin
creepy,dark,noisy,bright,muddy,hollow
mushy,muddy,soft,thick,warm,smooth
high energy,bright,dark,full,hollow,smooth
melodic,sparse,smooth,pure,soft,dark
dreary,muddy,dark,sparse,noisy,bright
reverbed,sparse,muddy,noisy,metallic,hollow
groovy,bright,smooth,noisy,warm,sparse
chorused,noisy,sparse,muddy,smooth,warm
grungy,muddy,noisy,rough,dark,sparse
rounder,smooth,rough,thin,soft,bright
richer,rich,pure,smooth,thick,warm
clean,warm,clear,smooth,soft,hard
negative feelings,bright,dark,full,hollow,smooth
quick delay,bright,dark,full,hollow,smooth
monotone,sparse,noisy,metallic,smooth,soft
twangy,sparse,muddy,noisy,smooth,warm
dreamy,warm,dark,bright,soft,smooth
light reverb,bright,dark,full,hollow,smooth
nasal,soft,thin,clear,thick,hollow
purer,pure,rich,clear,muddy,bright
cleaner,smooth,noisy,clear,full,warm
distorted,sparse,noisy,muddy,hollow,dark
less noisy,bright,dark,full,hollow,smooth
alot of reverb,bright,dark,full,hollow,smooth
heavy bass,bright,dark,full,hollow,smooth
tape saturation,bright,dark,full,hollow,smooth
distortions,clear,noisy,sparse,soft,hollow
distored,muddy,sparse,noisy,hollow,metallic
evil,dark,pure,hard,clear,rich
melancholic,dark,sparse,warm,noisy,bright
heavily distorted,bright,dark,full,hollow,smooth
reversed,clear,hard,dark,rough,bright
dolce,dark,soft,pure,metallic,bright
soft,soft,smooth,warm,thick,thin
emotional,clear,hard,rough,pure,dark
cantando,pure,muddy,hollow,noisy,metallic
impressive bass,bright,dark,full,hollow,smooth
reverbs,noisy,sparse,smooth,muddy,bright
brassy,bright,metallic,dark,noisy,sparse
too loud,bright,dark,full,hollow,smooth
juicy bass,bright,dark,full,hollow,smooth
sharp,bright,smooth,rough,thin,soft
chiming,noisy,metallic,warm,hollow,sparse
nice,warm,hard,bright,smooth,rough
sustained,clear,hard,pure,warm,smooth
tension,smooth,soft,hollow,thin,thick
softer,soft,smooth,warm,thin,rough
nice round,bright,dark,full,hollow,smooth
grungey distortion,bright,dark,full,hollow,smooth
distorted bass,bright,dark,full,hollow,smooth
bassy,muddy,noisy,sparse,warm,soft
overly aggressive,bright,dark,full,hollow,smooth
ambient,noisy,warm,dark,sparse,metallic
slow,hard,smooth,noisy,rough,warm
other-worldly,dark,muddy,sparse,bright,metallic
clear,clear,bright,hard,dark,smooth
hard,hard,rough,thick,clear,soft
bright,bright,dark,warm,clear,soft
percussive,sparse,noisy,metallic,smooth,soft
glitchy,noisy,sparse,muddy,smooth,rough
melancholy,dark,sparse,warm,bright,hollow
loud,noisy,bright,hard,warm,rough
fuller,smooth,full,rich,sparse,thin
futuristic,dark,metallic,bright,sparse,noisy
light distortion,bright,dark,full,hollow,smooth
pitch-shifting,bright,dark,full,hollow,smooth
metallic,metallic,bright,thin,dark,soft
agressive,noisy,rough,hard,smooth,muddy
pitch shift,bright,dark,full,hollow,smooth
dull,dark,bright,rough,muddy,noisy
reeverb delay,bright,dark,full,hollow,smooth
slap-back,bright,dark,full,hollow,smooth
wrongness,pure,muddy,clear,hollow,dark
higher,full,hard,clear,rich,pure
heavy,thick,hard,rough,dark,soft
calm,warm,clear,bright,smooth,soft
distortion,noisy,smooth,pure,soft,hollow
brighter,bright,dark,clear,warm,thin
scary,dark,hard,noisy,rough,muddy
tasto,muddy,sparse,metallic,warm,smooth
mellow,warm,smooth,dark,soft,bright
increased sustain,bright,dark,full,hollow,smooth
delays,noisy,rough,clear,smooth,sparse
flute,hollow,smooth,soft,metallic,dark
slap back delay,bright,dark,full,hollow,smooth
light,bright,dark,clear,warm,soft
less distortion,bright,dark,full,hollow,smooth
noise,noisy,rough,muddy,soft,smooth
sad,dark,hard,bright,noisy,rough
bouncy,soft,smooth,noisy,bright,muddy
depressed,hard,rough,noisy,hollow,thin
deep,thick,dark,hard,clear,warm
dissonant,noisy,sparse,muddy,metallic,dark
choppiness,muddy,rough,sparse,noisy,smooth
reverb,noisy,sparse,muddy,smooth,warm
pitch shifting,bright,dark,full,hollow,smooth
trippy,dark,noisy,sparse,bright,muddy
fast,hard,smooth,full,soft,clear
pont,muddy,hard,thin,metallic,hollow
tropical,warm,bright,rich,dark,soft
bowed,hollow,thin,dark,soft,sparse
weird,dark,hard,rough,noisy,thin
tremolo,smooth,metallic,hollow,sparse,noisy
dry,warm,thick,soft,thin,rough
chorus effect,bright,dark,full,hollow,smooth
moody,dark,noisy,bright,sparse,muddy
less aggressive,bright,dark,full,hollow,smooth
compression,smooth,soft,thin,hollow,metallic
weedy,muddy,sparse,noisy,rough,thick
horror,dark,pure,full,hard,hollow
trappy,muddy,sparse,noisy,hollow,rough
tinny,noisy,muddy,hollow,metallic,sparse
aggressive,hard,noisy,rough,clear,smooth
atmospheric,warm,sparse,dark,noisy,metallic
light chorus,bright,dark,full,hollow,smooth
tube saturation,bright,dark,full,hollow,smooth
