quality,1,2,3,4,5
delay,clear,full,hard,rough,noisy
stretched,thick,rough,thin,hard,full
humming,noisy,bright,warm,sparse,full
vintage verb,full,clear,hard,rough,dark
less sharp,full,clear,hard,rough,dark
depressing,hard,rough,clear,dark,noisy
reverse,clear,full,rough,hard,dark
marimba,sparse,hard,soft,clear,full
warm,warm,soft,bright,clear,thick
chilling,warm,dark,clear,full,hard
dark,dark,bright,clear,thick,soft
creepy,dark,full,rough,sparse,clear
mushy,soft,muddy,thick,warm,hard
high energy,full,clear,hard,rough,dark
melodic,sparse,smooth,rough,pure,soft
dreary,dark,muddy,bright,rough,sparse
reverbed,sparse,muddy,metallic,smooth,dark
groovy,full,bright,hard,smooth,sparse
chorused,noisy,sparse,full,clear,bright
grungy,rough,noisy,sparse,muddy,dark
rounder,rough,clear,full,smooth,hard
richer,rich,clear,full,sparse,pure
clean,clear,full,hard,bright,soft
negative feelings,full,clear,hard,rough,dark
quick delay,full,clear,hard,rough,dark
monotone,sparse,noisy,rough,clear,smooth
twangy,sparse,smooth,full,bright,rough
dreamy,bright,soft,smooth,dark,warm
light reverb,full,clear,hard,rough,dark
nasal,clear,soft,thick,rough,thin
purer,pure,clear,bright,full,dark
cleaner,full,clear,bright,hard,rough
distorted,clear,noisy,sparse,dark,muddy
less noisy,full,clear,hard,rough,dark
alot of reverb,full,clear,hard,rough,dark
heavy bass,full,clear,hard,rough,dark
tape saturation,full,clear,hard,rough,dark
distortions,clear,full,sparse,hard,noisy
distored,clear,hard,full,muddy,rough
evil,dark,clear,hard,full,pure
melancholic,dark,sparse,full,bright,warm
heavily distorted,full,clear,hard,rough,dark
reversed,clear,hard,rough,full,dark
dolce,full,clear,hard,pure,soft
soft,soft,smooth,warm,thick,hard
emotional,clear,full,hard,rough,pure
cantando,full,clear,pure,rough,hard
impressive bass,full,clear,hard,rough,dark
reverbs,noisy,sparse,full,smooth,bright
brassy,bright,metallic,dark,sparse,clear
too loud,full,clear,hard,rough,dark
juicy bass,full,clear,hard,rough,dark
sharp,rough,bright,clear,smooth,thin
chiming,clear,sparse,full,soft,hollow
nice,hard,clear,full,warm,rough
sustained,hard,full,clear,rough,soft
tension,full,hard,clear,rough,smooth
softer,soft,smooth,rough,thin,clear
nice round,full,clear,hard,rough,dark
grungey distortion,full,clear,hard,rough,dark
distorted bass,full,clear,hard,rough,dark
bassy,muddy,noisy,sparse,clear,warm
overly aggressive,full,clear,hard,rough,dark
ambient,dark,noisy,warm,sparse,clear
slow,hard,smooth,rough,full,clear
other-worldly,dark,clear,pure,full,bright
clear,clear,full,hard,bright,dark
hard,hard,rough,clear,full,soft
bright,bright,dark,clear,warm,soft
percussive,sparse,rough,metallic,noisy,smooth
glitchy,sparse,noisy,rough,hard,smooth
melancholy,dark,sparse,warm,bright,full
loud,noisy,hard,clear,bright,full
fuller,full,clear,smooth,sparse,rich
futuristic,dark,bright,metallic,full,clear
light distortion,full,clear,hard,rough,dark
pitch-shifting,full,clear,hard,rough,dark
metallic,metallic,dark,bright,thin,soft
agressive,hard,rough,noisy,clear,full
pitch shift,full,clear,hard,rough,dark
dull,rough,dark,bright,clear,sparse
reeverb delay,full,clear,hard,rough,dark
slap-back,full,clear,hard,rough,dark
wrongness,clear,pure,full,hard,dark
higher,full,hard,clear,rough,bright
heavy,hard,rough,thick,dark,soft
calm,clear,warm,smooth,bright,pure
distortion,clear,full,noisy,rough,hard
brighter,bright,clear,dark,full,sparse
scary,dark,hard,clear,rough,full
tasto,clear,rough,soft,full,hard
mellow,warm,smooth,soft,dark,bright
increased sustain,full,clear,hard,rough,dark
delays,rough,clear,noisy,full,hard
flute,hollow,full,clear,hard,sparse
slap back delay,full,clear,hard,rough,dark
light,bright,dark,clear,soft,full
less distortion,full,clear,hard,rough,dark
noise,noisy,clear,rough,full,hard
sad,hard,clear,full,dark,bright
bouncy,soft,smooth,hard,bright,rough
depressed,hard,rough,thin,dark,clear
deep,clear,dark,thick,hard,full
dissonant,noisy,sparse,rough,dark,metallic
choppiness,rough,clear,smooth,full,hard
reverb,noisy,full,sparse,clear,warm
pitch shifting,full,clear,hard,rough,dark
trippy,dark,bright,full,sparse,clear
fast,hard,full,smooth,clear,rough
pont,hard,full,clear,rough,thin
tropical,warm,bright,full,dark,rich
bowed,hollow,soft,thin,full,clear
weird,dark,hard,rough,clear,noisy
tremolo,full,clear,smooth,sparse,hard
dry,warm,rough,soft,thick,thin
chorus effect,full,clear,hard,rough,dark
moody,dark,sparse,bright,rough,noisy
less aggressive,full,clear,hard,rough,dark
compression,full,soft,hard,thin,smooth
weedy,muddy,sparse,rough,thin,thick
horror,dark,full,pure,hard,clear
trappy,muddy,rough,sparse,smooth,hard
tinny,noisy,rough,hollow,clear,thin
aggressive,clear,hard,rough,full,soft
atmospheric,dark,sparse,warm,noisy,full
light chorus,full,clear,hard,rough,dark
tube saturation,full,clear,hard,rough,dark
